bin	17,5	bin	18	bin	18,5	bin	19
501	0	501	0	501	0	501	0
502	0	502	0	502	0	502	0
503	0	503	0	503	0	503	0
504	0	504	0	504	0	504	0
505	0	505	0	505	0	505	0
506	0	506	0	506	0	506	0
507	0	507	0	507	0	507	0
508	0	508	0	508	0	508	0
509	0	509	0	509	0	509	0
510	0	510	0	510	0	510	0
511	0	511	0	511	0	511	0
512	0	512	0	512	0	512	0
513	0	513	0	513	0	513	0
514	0	514	0	514	0	514	0
515	0	515	0	515	0	515	0
516	0	516	0	516	0	516	0
517	0	517	0	517	0	517	0
518	0	518	0	518	0	518	0
519	0	519	0	519	0	519	0
520	0	520	0	520	0	520	0
521	0	521	0	521	0	521	0
522	0	522	0	522	0	522	0
523	0	523	0	523	0	523	0
524	0	524	0	524	0	524	0
525	0	525	0	525	0	525	0
526	0	526	0	526	0	526	0
527	0	527	0	527	0	527	0
528	0	528	0	528	0	528	0
529	0	529	0	529	0	529	0
530	0	530	0	530	0	530	0
531	0	531	0	531	0	531	0
532	0	532	0	532	0	532	0
533	0	533	0	533	0	533	0
534	0	534	0	534	0	534	0
535	0	535	0	535	0	535	0
536	0	536	0	536	0	536	0
537	0	537	0	537	0	537	0
538	0	538	0	538	0	538	0
539	0	539	0	539	0	539	0
540	0	540	0	540	0	540	0
541	0	541	0	541	0	541	0
542	0	542	0	542	0	542	0
543	0	543	0	543	0	543	0
544	0	544	0	544	0	544	0
545	0	545	0	545	0	545	0
546	0	546	0	546	0	546	0
547	0	547	0	547	0	547	0
548	0	548	0	548	0	548	0
549	0	549	0	549	0	549	0
550	0	550	0	550	0	550	0
551	0	551	0	551	0	551	0
552	0	552	0	552	0	552	0
553	0	553	0	553	0	553	0
554	0	554	0	554	0	554	0
555	0	555	0	555	0	555	0
556	0	556	0	556	0	556	0
557	0	557	0	557	0	557	0
558	0	558	0	558	0	558	0
559	0	559	0	559	0	559	0
560	0	560	0	560	0	560	0
561	0	561	0	561	0	561	0
562	0	562	0	562	0	562	0
563	0	563	0	563	0	563	0
564	0	564	0	564	0	564	0
565	0	565	0	565	0	565	0
566	0	566	0	566	0	566	0
567	0	567	0	567	0	567	0
568	0	568	0	568	0	568	0
569	0	569	0	569	0	569	0
570	0	570	0	570	0	570	0
571	0	571	0	571	0	571	0
572	0	572	0	572	0	572	0
573	0	573	0	573	0	573	0
574	0	574	0	574	0	574	0
575	0	575	0	575	0	575	0
576	0	576	0	576	0	576	0
577	0	577	0	577	0	577	0
578	0	578	0	578	0	578	0
579	0	579	0	579	0	579	0
580	0	580	0	580	0	580	0
581	0	581	0	581	0	581	0
582	0	582	0	582	0	582	0
583	0	583	0	583	0	583	0
584	0	584	0	584	0	584	0
585	0	585	0	585	0	585	0
586	0	586	0	586	0	586	0
587	0	587	0	587	0	587	0
588	0	588	0	588	0	588	0
589	0	589	0	589	0	589	0
590	0	590	0	590	0	590	0
591	0	591	0	591	0	591	0
