bin	17,5	bin.1	18	bin.2	18,5	bin.3	19
504	0	6114	0	6114	0	6114	0
516	0	6258	0	6258	0	6258	0
528	0	6402	0	6402	0	6402	0
540	0	6546	0	6546	0	6546	0
552	0	6690	0	6690	0	6690	0
564	0	6834	0	6834	0	6834	0
576	11	6978	0	6978	0	6978	0
588	128	7122	0	7122	0	7122	0
600	446	7266	1	7266	0	7266	0
612	880	7410	25	7410	0	7410	0
624	1108	7554	207	7554	0	7554	0
636	888	7698	625	7698	2	7698	0
648	655	7842	929	7842	52	7842	0
660	421	7986	1100	7986	334	7986	0
672	227	8130	878	8130	809	8130	6
684	121	8274	562	8274	1095	8274	130
696	51	8418	344	8418	994	8418	542
708	31	8562	160	8562	717	8562	1012
720	16	8706	93	8706	489	8706	1124
732	8	8850	40	8850	253	8850	930
744	6	8994	19	8994	115	8994	559
756	2	9138	12	9138	74	9138	341
768	0	9282	3	9282	18	9282	194
780	1	9426	2	9426	21	9426	87
792	0	9570	0	9570	15	9570	44
804	0	9714	0	9714	7	9714	22
816	0	9858	0	9858	1	9858	6
828	0	10002	0	10002	2	10002	2
840	0	10146	0	10146	2	10146	1
852	0	10290	0	10290	0	10290	0
864	0	10434	0	10434	0	10434	0
876	0	10578	0	10578	0	10578	0
888	0	10722	0	10722	0	10722	0
900	0	10866	0	10866	0	10866	0
912	0	11010	0	11010	0	11010	0
924	0	11154	0	11154	0	11154	0
936	0	11298	0	11298	0	11298	0
948	0	11442	0	11442	0	11442	0
960	0	11586	0	11586	0	11586	0
972	0	11730	0	11730	0	11730	0
984	0	11874	0	11874	0	11874	0
996	0	12018	0	12018	0	12018	0
1008	0	12162	0	12162	0	12162	0
1020	0	12306	0	12306	0	12306	0
1032	0	12450	0	12450	0	12450	0
1044	0	12594	0	12594	0	12594	0
1056	0	12738	0	12738	0	12738	0
1068	0	12882	0	12882	0	12882	0
1080	0	13026	0	13026	0	13026	0
1092	0	13170	0	13170	0	13170	0
1104	0	13314	0	13314	0	13314	0
1116	0	13458	0	13458	0	13458	0
1128	0	13602	0	13602	0	13602	0
1140	0	13746	0	13746	0	13746	0
1152	0	13890	0	13890	0	13890	0
1164	0	14034	0	14034	0	14034	0
1176	0	14178	0	14178	0	14178	0
1188	0	14322	0	14322	0	14322	0
1200	0	14466	0	14466	0	14466	0
1212	0	14610	0	14610	0	14610	0
1224	0	14754	0	14754	0	14754	0
1236	0	14898	0	14898	0	14898	0
1248	0	15042	0	15042	0	15042	0
1260	0	15186	0	15186	0	15186	0
1272	0	15330	0	15330	0	15330	0
1284	0	15474	0	15474	0	15474	0
1296	0	15618	0	15618	0	15618	0
1308	0	15762	0	15762	0	15762	0
1320	0	15906	0	15906	0	15906	0
1332	0	16050	0	16050	0	16050	0
1344	0	16194	0	16194	0	16194	0
1356	0	16338	0	16338	0	16338	0
1368	0	16482	0	16482	0	16482	0
1380	0	16626	0	16626	0	16626	0
1392	0	16770	0	16770	0	16770	0
1404	0	16914	0	16914	0	16914	0
1416	0	17058	0	17058	0	17058	0
1428	0	17202	0	17202	0	17202	0
1440	0	17346	0	17346	0	17346	0
1452	0	17490	0	17490	0	17490	0
1464	0	17634	0	17634	0	17634	0
1476	0	17778	0	17778	0	17778	0
1488	0	17922	0	17922	0	17922	0
1500	0	1500	0	1500	0	1500	0
