Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	0	0.0
576.0	0	0.0
588.0	0	0.0
600.0	0	0.0
612.0	0	0.0
624.0	0	0.0
636.0	0	0.0
648.0	1	1.0
660.0	2	1.4142135623730951
672.0	1	1.0
684.0	2	1.4142135623730951
696.0	8	2.8284271247461903
708.0	13	3.605551275463989
720.0	23	4.795831523312719
732.0	31	5.5677643628300215
744.0	40	6.324555320336759
756.0	34	5.830951894845301
768.0	32	5.656854249492381
780.0	25	5.0
792.0	20	4.47213595499958
804.0	11	3.3166247903554
816.0	6	2.449489742783178
828.0	8	2.8284271247461903
840.0	1	1.0
852.0	4	2.0
864.0	0	0.0
876.0	2	1.4142135623730951
888.0	1	1.0
900.0	0	0.0
912.0	0	0.0
924.0	0	0.0
936.0	0	0.0
948.0	0	0.0
960.0	0	0.0
972.0	0	0.0
984.0	0	0.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	1	1.0
1056.0	0	0.0
1068.0	0	0.0
